"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,73,"EST","Estonia",1,"Harju","EE.HA",NA,"","Maakond","County","","Harjumaa|Harju maakond"
2,73,"EST","Estonia",2,"Hiiu","EE.HI",NA,"","Maakond","County","","Hiiumaa|Hiiu maakond|Dagö"
3,73,"EST","Estonia",3,"Ida-Viru","EE.IV",NA,"","Maakond","County","","Ida-Virumaa|Ida-Viru maakond"
4,73,"EST","Estonia",4,"Järva","EE.JR",NA,"","Maakond","County","","Jaerva|Järvamaa|Järva maakond"
5,73,"EST","Estonia",5,"Jõgeva","EE.JN",NA,"","Maakond","County","","Jogeva|Jõgevamaa|Jõgeva maakond"
6,73,"EST","Estonia",6,"Lääne-Viru","EE.LV",NA,"","Maakond","County","","Laeaene-Viru|Lääne-Virumaa|Lääne-Viru maakond"
7,73,"EST","Estonia",7,"Lääne","EE.LN",NA,"","Maakond","County","","Laeaene|Läänemaa|Lääne maakond"
8,73,"EST","Estonia",8,"Pärnu","EE.PR",NA,"","Maakond","County","","Paernu|Pärnumaa|Pärnu maakond"
9,73,"EST","Estonia",9,"Põlva","EE.PL",NA,"","Maakond","County","","Polva|Põlvamaa|Põlva maakond"
10,73,"EST","Estonia",10,"Peipsi","",NA,"","Water body","Water body","","Peipsi järv|Pihkva järv|Lake Peipsi|<U+0427><U+0443><U+0434><U+0441><U+043A><U+043E>-<U+041F><U+0441><U+043A><U+043E><U+0432><U+0441><U+043A><U+043E><U+0435> <U+043E><U+0437><U+0435><U+0440><U+043E>"
11,73,"EST","Estonia",11,"Rapla","EE.RA",NA,"","Maakond","County","","Raplamaa|Rapla maakond"
12,73,"EST","Estonia",12,"Saare","EE.SA",NA,"","Maakond","County","","Saaremaa|Saare maakond|Ösel"
13,73,"EST","Estonia",13,"Tartu","EE.TA",NA,"","Maakond","County","","Tartumaa|Tartu maakond|Dorpat"
14,73,"EST","Estonia",14,"Võru","EE.VR",NA,"","Maakond","County","","Voru|Võrumaa|Võru maakond"
15,73,"EST","Estonia",15,"Valga","EE.VG",NA,"","Maakond","County","","Valgamaa|Valga maakond"
16,73,"EST","Estonia",16,"Viljandi","EE.VD",NA,"","Maakond","County","","Viljandimaa|Viljandi maakond|Vilyandi"
